n,bloque,pregunta,resultado,faq_id,score,diagnostico
1,FP,"Oye, en FP, ¿eran 13 o 26 las familias profesionales? Me suena que antes eran menos.",PASS,fp_numero_familias,1.0,Ahora activa la FAQ correcta de número de familias.
2,FP,"Si pregunto por “familias” en Formación Profesional, ¿me dices cuántas hay o me sacas ciclos concretos?",PASS,fp_numero_familias,1.0,Ahora identifica la intención de preguntar por número de familias.
3,FP,¿Informática y comunicaciones es una familia profesional o un ciclo?,PASS,,0.0,No activa la FAQ de número; evita falso positivo.
4,Secundaria/Bachillerato,"Para Bachillerato en Castilla y León, ¿la evaluación la regula la orden esa de mayo de 2024 o el real decreto estatal?",PASS,cyl_evaluacion_bach_norma,1.0,Ahora activa la FAQ correcta de evaluación de Bachillerato en Castilla y León.
5,Infantil/Primaria,"En Primaria, lo de evaluar con IN, SU, BI, NT y SB, ¿de dónde sale exactamente?",PASS,,0.2418,No activa FAQ; irá a RAG. Es aceptable porque no había FAQ específica suficientemente clara.
6,General,"Los derechos del alumnado, ¿van por la LOE, por la LODE o por el decreto de convivencia de Castilla y León? Me lío.",PASS,,0.0,"No activa FAQ parcial; irá a RAG, que es más seguro para una pregunta comparativa."
7,General,¿El BOCYL manda más que el BOE si hablamos de colegios de Castilla y León?,PASS,,0.0,No activa FAQ; evita respuesta simplista sobre jerarquía normativa.
8,General,"Si una norma está en BOE y otra en BOCYL y dicen cosas distintas, ¿hago caso a la autonómica porque estoy en Castilla y León?",PASS,,0.0,No activa FAQ; irá a RAG para respuesta con matices.
9,General,¿Puedo meter nombres de alumnos en la app para que me diga qué hacer con un caso concreto?,PASS,privacidad_no_datos_personales_app,1.0,Nueva FAQ de privacidad activada correctamente.
10,General,"Mi padre está hospitalizado fuera de mi provincia: ¿eso es baja, permiso, licencia o vacaciones?",PASS,permiso_hospitalizacion_padre,1.0,Ahora activa la FAQ correcta de permiso por hospitalización del padre.
